iter	Passed	Remaining
0	0	32
1	0	28
2	0	27
3	1	27
4	1	28
5	1	29
6	2	27
7	2	26
8	2	26
9	2	25
10	3	26
11	3	26
12	3	26
13	4	27
14	4	26
15	5	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	18
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	12
56	16	12
57	17	12
58	17	12
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	21	7
75	22	7
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	27	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
